Title,Artist,Genre,Year,Beats.per.Minute
Blinding Lights,The Weeknd,canadian contemporary r&b,2020,171
Watermelon Sugar,Harry Styles,pop,2019,95
Mood (feat. iann dior),24kGoldn,cali rap,2021,91
Someone You Loved,Lewis Capaldi,pop,2019,110
Perfect,Ed Sheeran,pop,2017,95
Believer,Imagine Dragons,modern rock,2017,125
lovely (with Khalid),Billie Eilish,electropop,2018,115
Circles,Post Malone,dfw rap,2019,120
Shape of You,Ed Sheeran,pop,2017,96
Memories,Maroon 5,pop,2021,91
Closer,The Chainsmokers,dance pop,2016,95
bad guy,Billie Eilish,electropop,2019,135
Say You Won't Let Go,James Arthur,pop,2016,85
Lucid Dreams,Juice WRLD,chicago rap,2018,84
All of Me,John Legend,neo soul,2013,120
7 rings,Ariana Grande,dance pop,2019,140
Jocelyn Flores,XXXTENTACION,emo rap,2017,134
goosebumps,Travis Scott,rap,2016,130
Wake Me Up,Avicii,dance pop,2013,124
ROCKSTAR (feat. Roddy Ricch),DaBaby,north carolina hip hop,2020,90
rockstar (feat. 21 Savage),Post Malone,dfw rap,2018,160
Photograph,Ed Sheeran,pop,2014,108
SAD!,XXXTENTACION,emo rap,2018,75
SICKO MODE,Travis Scott,rap,2018,155
Stressed Out,Twenty One Pilots,modern rock,2015,170
Roses - Imanbek Remix,SAINt JHN,melodic rap,2019,122
The Box,Roddy Ricch,melodic rap,2019,117
The Hills,The Weeknd,canadian contemporary r&b,2015,113
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,2018,90
Thinking out Loud,Ed Sheeran,pop,2014,79
Starboy,The Weeknd,canadian contemporary r&b,2016,186
Love Yourself,Justin Bieber,canadian pop,2015,100
Something Just Like This,The Chainsmokers,dance pop,2017,103
Shallow,Lady Gaga,dance pop,2018,96
Thunder,Imagine Dragons,modern rock,2017,168
XO Tour Llif3,Lil Uzi Vert,melodic rap,2017,155
Take Me To Church,Hozier,irish singer-songwriter,2014,129
Happier,Marshmello,brostep,2018,100
"thank u, next",Ariana Grande,dance pop,2019,107
Counting Stars,OneRepublic,dance pop,2013,122
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,pop rap,2012,146
Señorita,Shawn Mendes,canadian pop,2019,117
God's Plan,Drake,canadian hip hop,2018,77
Don't Start Now,Dua Lipa,dance pop,2020,124
Bohemian Rhapsody - Remastered 2011,Queen,classic rock,1975,71
HUMBLE.,Kendrick Lamar,conscious hip hop,2017,150
Let Me Love You,DJ Snake,dance pop,2016,100
Congratulations,Post Malone,dfw rap,2016,123
Stay With Me,Sam Smith,dance pop,2014,84
Treat You Better,Shawn Mendes,canadian pop,2017,83
Uptown Funk (feat. Bruno Mars),Mark Ronson,dance pop,2015,115
I Like Me Better,Lauv,dance pop,2018,92
when the party's over,Billie Eilish,electropop,2019,83
Mr. Brightside,The Killers,alternative rock,2004,148
Dance Monkey,Tones And I,australian pop,2019,98
Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105
Better Now,Post Malone,dfw rap,2018,145
I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,102
Unforgettable,French Montana,gangster rap,2017,98
Too Good At Goodbyes,Sam Smith,dance pop,2017,92
Riptide,Vance Joy,folk-pop,2014,102
That's What I Like,Bruno Mars,dance pop,2016,134
See You Again (feat. Charlie Puth),Wiz Khalifa,dance pop,2015,80
One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124
Heathens,Twenty One Pilots,modern rock,2016,90
Demons,Imagine Dragons,modern rock,2012,90
Youngblood,5 Seconds of Summer,boy band,2018,120
Old Town Road - Remix,Lil Nas X,lgbtq+ hip hop,2019,136
I'm Yours,Jason Mraz,acoustic pop,2008,151
Attention,Charlie Puth,dance pop,2018,100
New Rules,Dua Lipa,dance pop,2017,116
Sorry,Justin Bieber,canadian pop,2015,100
Don't Let Me Down,The Chainsmokers,dance pop,2016,160
7 Years,Lukas Graham,danish pop,2016,120
I Like It,Cardi B,dance pop,2018,136
I Fall Apart,Post Malone,dfw rap,2016,144
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,dance pop,2016,100
Can't Feel My Face,The Weeknd,canadian contemporary r&b,2015,108
Despacito,Luis Fonsi,latin,2019,178
Psycho (feat. Ty Dolla $ign),Post Malone,dfw rap,2018,140
Stitches,Shawn Mendes,canadian pop,2015,150
What Do You Mean?,Justin Bieber,canadian pop,2015,125
Wonderwall - Remastered,Oasis,beatlesque,1995,174
Radioactive,Imagine Dragons,modern rock,2012,136
Eastside (with Halsey & Khalid),benny blanco,electropop,2018,89
Cheerleader - Felix Jaehn Remix Radio Edit,OMI,dance pop,2015,118
Cheap Thrills,Sia,australian dance,2016,90
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,pop,2018,125
Faded,Alan Walker,electro house,2015,90
Let Her Go,Passenger,folk-pop,2013,76
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113
Lean On,Major Lazer,dance pop,2015,98
Despacito - Remix,Luis Fonsi,latin,2019,178
Lose Yourself,Eminem,detroit hip hop,2014,171
Without Me (with Juice WRLD),Halsey,dance pop,2019,136
One Dance,Drake,canadian hip hop,2016,104
Sugar,Maroon 5,pop,2015,120
Emotions,Mark Mendy,pop dance,2021,126
Cold Water,Major Lazer,dance pop,2018,93
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,102
