Title,Artist,Genre,Year,Beats.per.Minute
Blinding Lights,The Weeknd,Jazz,2020,171
Watermelon Sugar,Harry Styles,pop,2019,95
Mood (feat. iann dior),24kGoldn,HipHop,2021,91
Someone You Loved,Lewis Capaldi,pop,2019,110
Perfect,Ed Sheeran,pop,2017,95
Believer,Imagine Dragons,modern rock,2017,125
lovely (with Khalid),Billie Eilish,electropop,2018,115
Circles,Post Malone,HipHop,2019,120
Shape of You,Ed Sheeran,pop,2017,96
Memories,Maroon 5,pop,2021,91
Closer,The Chainsmokers,Dance,2016,95
bad guy,Billie Eilish,electropop,2019,135
Say You Won't Let Go,James Arthur,pop,2016,85
Lucid Dreams,Juice WRLD,HipHop,2018,84
All of Me,John Legend,pop,2013,120
7 rings,Ariana Grande,Dance,2019,140
Jocelyn Flores,XXXTENTACION,HipHop,2017,134
goosebumps,Travis Scott,HipHop,2016,130
Wake Me Up,Avicii,Dance,2013,124
ROCKSTAR (feat. Roddy Ricch),DaBaby,HipHop,2020,90
rockstar (feat. 21 Savage),Post Malone,HipHop,2018,160
PhotogHipHoph,Ed Sheeran,pop,2014,108
SAD!,XXXTENTACION,HipHop,2018,75
SICKO MODE,Travis Scott,HipHop,2018,155
Stressed Out,Twenty One Pilots,modern rock,2015,170
Roses - Imanbek Remix,SAINt JHN,HipHop,2019,122
The Box,Roddy Ricch,HipHop,2019,117
The Hills,The Weeknd,Jazz,2015,113
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,HipHop,2018,90
Thinking out Loud,Ed Sheeran,pop,2014,79
Starboy,The Weeknd,Jazz,2016,186
Love Yourself,Justin Bieber,canadian pop,2015,100
Something Just Like This,The Chainsmokers,Dance,2017,103
Shallow,Lady Gaga,Dance,2018,96
Thunder,Imagine Dragons,modern rock,2017,168
XO Tour Llif3,Lil Uzi Vert,HipHop,2017,155
Take Me To Church,Hozier,pop rock,2014,129
Happier,Marshmello,dance,2018,100
"thank u, next",Ariana Grande,Dance,2019,107
Counting Stars,OneRepublic,Dance,2013,122
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,HipHop,2012,146
Señorita,Shawn Mendes,canadian pop,2019,117
God's Plan,Drake,HipHop,2018,77
Don't Start Now,Dua Lipa,Dance,2020,124
Bohemian Rhapsody - Remastered 2011,Queen,classic rock,1975,71
HUMBLE.,Kendrick Lamar,HipHop,2017,150
Let Me Love You,DJ Snake,Dance,2016,100
Congratulations,Post Malone,HipHop,2016,123
Stay With Me,Sam Smith,Dance,2014,84
Treat You Better,Shawn Mendes,canadian pop,2017,83
Uptown Funk (feat. Bruno Mars),Mark Ronson,Dance,2015,115
I Like Me Better,Lauv,Dance,2018,92
when the party's over,Billie Eilish,electropop,2019,83
Mr. Brightside,The Killers,alternative rock,2004,148
Dance Monkey,Tones And I,australian pop,2019,98
Havana (feat. Young Thug),Camila Cabello,Dance,2018,105
Better Now,Post Malone,HipHop,2018,145
I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,102
Unforgettable,French Montana,HipHop,2017,98
Too Good At Goodbyes,Sam Smith,Dance,2017,92
Riptide,Vance Joy,folk-pop,2014,102
That's What I Like,Bruno Mars,Dance,2016,134
See You Again (feat. Charlie Puth),Wiz Khalifa,Dance,2015,80
One Kiss (with Dua Lipa),Calvin Harris,Dance,2018,124
Heathens,Twenty One Pilots,modern rock,2016,90
Demons,Imagine Dragons,modern rock,2012,90
Youngblood,5 Seconds of Summer,pop,2018,120
Old Town Road - Remix,Lil Nas X,HipHop,2019,136
I'm Yours,Jason Mraz,Acoustic,2008,151
Attention,Charlie Puth,Dance,2018,100
New Rules,Dua Lipa,Dance,2017,116
Sorry,Justin Bieber,canadian pop,2015,100
Don't Let Me Down,The Chainsmokers,Dance,2016,160
7 Years,Lukas Graham,danish pop,2016,120
I Like It,Cardi B,Dance,2018,136
I Fall Apart,Post Malone,HipHop,2016,144
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,Dance,2016,100
Can't Feel My Face,The Weeknd,Jazz,2015,108
Despacito,Luis Fonsi,pop,2019,178
Psycho (feat. Ty Dolla $ign),Post Malone,HipHop,2018,140
Stitches,Shawn Mendes,canadian pop,2015,150
What Do You Mean?,Justin Bieber,canadian pop,2015,125
Wonderwall - Remastered,Oasis,pop,1995,174
Radioactive,Imagine Dragons,modern rock,2012,136
Eastside (with Halsey & Khalid),benny blanco,electropop,2018,89
Cheerleader - Felix Jaehn Remix Radio Edit,OMI,Dance,2015,118
Cheap Thrills,Sia,Dance,2016,90
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,pop,2018,125
Faded,Alan Walker,electro house,2015,90
Let Her Go,Passenger,folk-pop,2013,76
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,Dance,2016,113
Lean On,Major Lazer,Dance,2015,98
Despacito - Remix,Luis Fonsi,latin,2019,178
Lose Yourself,Eminem,HipHop,2014,171
Without Me (with Juice WRLD),Halsey,Dance,2019,136
One Dance,Drake,HipHop,2016,104
Sugar,Maroon 5,pop,2015,120
Emotions,Mark Mendy,Dance,2021,126
Cold Water,Major Lazer,Dance,2018,93
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,Dance,2016,102
